id,p_s,path,subject_id,text
193,"(['Disease, Disorder or Finding', 'Seizure Disorder'], '<http://purl.obolibrary.org/obo/NCIT_C3020>')","['Disease, Disorder or Finding', 'Seizure Disorder']",<http://purl.obolibrary.org/obo/NCIT_C3020>,"Disease, Disorder or Finding Seizure Disorder"
194,"(['Disease, Disorder or Finding', 'Generalized Epilepsy'], '<http://purl.obolibrary.org/obo/NCIT_C3021>')","['Disease, Disorder or Finding', 'Generalized Epilepsy']",<http://purl.obolibrary.org/obo/NCIT_C3021>,"Disease, Disorder or Finding Generalized Epilepsy"
195,"(['Disease, Disorder or Finding', 'Fibroma'], '<http://purl.obolibrary.org/obo/NCIT_C3041>')","['Disease, Disorder or Finding', 'Fibroma']",<http://purl.obolibrary.org/obo/NCIT_C3041>,"Disease, Disorder or Finding Fibroma"
196,"(['Disease, Disorder or Finding', 'Cavernous Hemangioma'], '<http://purl.obolibrary.org/obo/NCIT_C3086>')","['Disease, Disorder or Finding', 'Cavernous Hemangioma']",<http://purl.obolibrary.org/obo/NCIT_C3086>,"Disease, Disorder or Finding Cavernous Hemangioma"
197,"(['Disease, Disorder or Finding', 'Hepatitis'], '<http://purl.obolibrary.org/obo/NCIT_C3095>')","['Disease, Disorder or Finding', 'Hepatitis']",<http://purl.obolibrary.org/obo/NCIT_C3095>,"Disease, Disorder or Finding Hepatitis"
198,"(['Disease, Disorder or Finding', 'Hepatitis A Infection'], '<http://purl.obolibrary.org/obo/NCIT_C3096>')","['Disease, Disorder or Finding', 'Hepatitis A Infection']",<http://purl.obolibrary.org/obo/NCIT_C3096>,"Disease, Disorder or Finding Hepatitis A Infection"
199,"(['Disease, Disorder or Finding', 'Langerhans Cell Histiocytosis'], '<http://purl.obolibrary.org/obo/NCIT_C3107>')","['Disease, Disorder or Finding', 'Langerhans Cell Histiocytosis']",<http://purl.obolibrary.org/obo/NCIT_C3107>,"Disease, Disorder or Finding Langerhans Cell Histiocytosis"
200,"(['Disease, Disorder or Finding', 'Hypersensitivity'], '<http://purl.obolibrary.org/obo/NCIT_C3114>')","['Disease, Disorder or Finding', 'Hypersensitivity']",<http://purl.obolibrary.org/obo/NCIT_C3114>,"Disease, Disorder or Finding Hypersensitivity"
201,"(['Disease, Disorder or Finding', 'Hypertension'], '<http://purl.obolibrary.org/obo/NCIT_C3117>')","['Disease, Disorder or Finding', 'Hypertension']",<http://purl.obolibrary.org/obo/NCIT_C3117>,"Disease, Disorder or Finding Hypertension"
202,"(['Disease, Disorder or Finding', 'Hypertensive Crisis'], '<http://purl.obolibrary.org/obo/NCIT_C3122>')","['Disease, Disorder or Finding', 'Hypertensive Crisis']",<http://purl.obolibrary.org/obo/NCIT_C3122>,"Disease, Disorder or Finding Hypertensive Crisis"
203,"(['Disease, Disorder or Finding', 'Hyperthyroidism'], '<http://purl.obolibrary.org/obo/NCIT_C3123>')","['Disease, Disorder or Finding', 'Hyperthyroidism']",<http://purl.obolibrary.org/obo/NCIT_C3123>,"Disease, Disorder or Finding Hyperthyroidism"
204,"(['Disease, Disorder or Finding', 'Epidermal Inclusion Cyst'], '<http://purl.obolibrary.org/obo/NCIT_C3134>')","['Disease, Disorder or Finding', 'Epidermal Inclusion Cyst']",<http://purl.obolibrary.org/obo/NCIT_C3134>,"Disease, Disorder or Finding Epidermal Inclusion Cyst"
205,"(['Disease, Disorder or Finding', 'Multiple Sclerosis'], '<http://purl.obolibrary.org/obo/NCIT_C3243>')","['Disease, Disorder or Finding', 'Multiple Sclerosis']",<http://purl.obolibrary.org/obo/NCIT_C3243>,"Disease, Disorder or Finding Multiple Sclerosis"
206,"(['Disease, Disorder or Finding', 'Fungal Infection'], '<http://purl.obolibrary.org/obo/NCIT_C3245>')","['Disease, Disorder or Finding', 'Fungal Infection']",<http://purl.obolibrary.org/obo/NCIT_C3245>,"Disease, Disorder or Finding Fungal Infection"
207,"(['Disease, Disorder or Finding', 'Neoplasm'], '<http://purl.obolibrary.org/obo/NCIT_C3262>')","['Disease, Disorder or Finding', 'Neoplasm']",<http://purl.obolibrary.org/obo/NCIT_C3262>,"Disease, Disorder or Finding Neoplasm"
208,"(['Disease, Disorder or Finding', 'Obesity'], '<http://purl.obolibrary.org/obo/NCIT_C3283>')","['Disease, Disorder or Finding', 'Obesity']",<http://purl.obolibrary.org/obo/NCIT_C3283>,"Disease, Disorder or Finding Obesity"
209,"(['Disease, Disorder or Finding', 'Osteoporosis'], '<http://purl.obolibrary.org/obo/NCIT_C3298>')","['Disease, Disorder or Finding', 'Osteoporosis']",<http://purl.obolibrary.org/obo/NCIT_C3298>,"Disease, Disorder or Finding Osteoporosis"
210,"(['Disease, Disorder or Finding', 'Pituitary Neuroendocrine Tumor'], '<http://purl.obolibrary.org/obo/NCIT_C3329>')","['Disease, Disorder or Finding', 'Pituitary Neuroendocrine Tumor']",<http://purl.obolibrary.org/obo/NCIT_C3329>,"Disease, Disorder or Finding Pituitary Neuroendocrine Tumor"
211,"(['Disease, Disorder or Finding', 'Pleural Effusion'], '<http://purl.obolibrary.org/obo/NCIT_C3331>')","['Disease, Disorder or Finding', 'Pleural Effusion']",<http://purl.obolibrary.org/obo/NCIT_C3331>,"Disease, Disorder or Finding Pleural Effusion"
212,"(['Disease, Disorder or Finding', 'Pneumonia'], '<http://purl.obolibrary.org/obo/NCIT_C3333>')","['Disease, Disorder or Finding', 'Pneumonia']",<http://purl.obolibrary.org/obo/NCIT_C3333>,"Disease, Disorder or Finding Pneumonia"
213,"(['Disease, Disorder or Finding', 'Psoriasis'], '<http://purl.obolibrary.org/obo/NCIT_C3346>')","['Disease, Disorder or Finding', 'Psoriasis']",<http://purl.obolibrary.org/obo/NCIT_C3346>,"Disease, Disorder or Finding Psoriasis"
214,"(['Disease, Disorder or Finding', 'Finding'], '<http://purl.obolibrary.org/obo/NCIT_C3367>')","['Disease, Disorder or Finding', 'Finding']",<http://purl.obolibrary.org/obo/NCIT_C3367>,"Disease, Disorder or Finding Finding"
215,"(['Disease, Disorder or Finding', 'Stroke'], '<http://purl.obolibrary.org/obo/NCIT_C3390>')","['Disease, Disorder or Finding', 'Stroke']",<http://purl.obolibrary.org/obo/NCIT_C3390>,"Disease, Disorder or Finding Stroke"
216,"(['Disease, Disorder or Finding', 'Thrombocytopenia'], '<http://purl.obolibrary.org/obo/NCIT_C3408>')","['Disease, Disorder or Finding', 'Thrombocytopenia']",<http://purl.obolibrary.org/obo/NCIT_C3408>,"Disease, Disorder or Finding Thrombocytopenia"
217,"(['Disease, Disorder or Finding', 'Toxoplasmosis'], '<http://purl.obolibrary.org/obo/NCIT_C3418>')","['Disease, Disorder or Finding', 'Toxoplasmosis']",<http://purl.obolibrary.org/obo/NCIT_C3418>,"Disease, Disorder or Finding Toxoplasmosis"
218,"(['Disease, Disorder or Finding', 'Uterine Corpus Leiomyoma'], '<http://purl.obolibrary.org/obo/NCIT_C3434>')","['Disease, Disorder or Finding', 'Uterine Corpus Leiomyoma']",<http://purl.obolibrary.org/obo/NCIT_C3434>,"Disease, Disorder or Finding Uterine Corpus Leiomyoma"
219,"(['Disease, Disorder or Finding', 'Congenital Adrenal Hyperplasia'], '<http://purl.obolibrary.org/obo/NCIT_C34360>')","['Disease, Disorder or Finding', 'Congenital Adrenal Hyperplasia']",<http://purl.obolibrary.org/obo/NCIT_C34360>,"Disease, Disorder or Finding Congenital Adrenal Hyperplasia"
220,"(['Disease, Disorder or Finding', 'Amyotrophic Lateral Sclerosis'], '<http://purl.obolibrary.org/obo/NCIT_C34373>')","['Disease, Disorder or Finding', 'Amyotrophic Lateral Sclerosis']",<http://purl.obolibrary.org/obo/NCIT_C34373>,"Disease, Disorder or Finding Amyotrophic Lateral Sclerosis"
221,"(['Disease, Disorder or Finding', 'Hereditary Hemolytic Anemia'], '<http://purl.obolibrary.org/obo/NCIT_C34379>')","['Disease, Disorder or Finding', 'Hereditary Hemolytic Anemia']",<http://purl.obolibrary.org/obo/NCIT_C34379>,"Disease, Disorder or Finding Hereditary Hemolytic Anemia"
222,"(['Disease, Disorder or Finding', 'Bipolar Disorder'], '<http://purl.obolibrary.org/obo/NCIT_C34423>')","['Disease, Disorder or Finding', 'Bipolar Disorder']",<http://purl.obolibrary.org/obo/NCIT_C34423>,"Disease, Disorder or Finding Bipolar Disorder"
223,"(['Disease, Disorder or Finding', 'Closed Dislocation of Shoulder'], '<http://purl.obolibrary.org/obo/NCIT_C34486>')","['Disease, Disorder or Finding', 'Closed Dislocation of Shoulder']",<http://purl.obolibrary.org/obo/NCIT_C34486>,"Disease, Disorder or Finding Closed Dislocation of Shoulder"
224,"(['Disease, Disorder or Finding', 'Common Bile Duct Stone'], '<http://purl.obolibrary.org/obo/NCIT_C34499>')","['Disease, Disorder or Finding', 'Common Bile Duct Stone']",<http://purl.obolibrary.org/obo/NCIT_C34499>,"Disease, Disorder or Finding Common Bile Duct Stone"
225,"(['Disease, Disorder or Finding', 'Favism'], '<http://purl.obolibrary.org/obo/NCIT_C34607>')","['Disease, Disorder or Finding', 'Favism']",<http://purl.obolibrary.org/obo/NCIT_C34607>,"Disease, Disorder or Finding Favism"
226,"(['Disease, Disorder or Finding', 'Gastroenteritits'], '<http://purl.obolibrary.org/obo/NCIT_C34632>')","['Disease, Disorder or Finding', 'Gastroenteritits']",<http://purl.obolibrary.org/obo/NCIT_C34632>,"Disease, Disorder or Finding Gastroenteritits"
227,"(['Disease, Disorder or Finding', 'Head Trauma'], '<http://purl.obolibrary.org/obo/NCIT_C34660>')","['Disease, Disorder or Finding', 'Head Trauma']",<http://purl.obolibrary.org/obo/NCIT_C34660>,"Disease, Disorder or Finding Head Trauma"
228,"(['Disease, Disorder or Finding', 'Headache'], '<http://purl.obolibrary.org/obo/NCIT_C34661>')","['Disease, Disorder or Finding', 'Headache']",<http://purl.obolibrary.org/obo/NCIT_C34661>,"Disease, Disorder or Finding Headache"
229,"(['Disease, Disorder or Finding', 'Hernia'], '<http://purl.obolibrary.org/obo/NCIT_C34685>')","['Disease, Disorder or Finding', 'Hernia']",<http://purl.obolibrary.org/obo/NCIT_C34685>,"Disease, Disorder or Finding Hernia"
230,"(['Disease, Disorder or Finding', 'Palmar Fibromatosis'], '<http://purl.obolibrary.org/obo/NCIT_C3469>')","['Disease, Disorder or Finding', 'Palmar Fibromatosis']",<http://purl.obolibrary.org/obo/NCIT_C3469>,"Disease, Disorder or Finding Palmar Fibromatosis"
231,"(['Disease, Disorder or Finding', 'Inguinal Hernia'], '<http://purl.obolibrary.org/obo/NCIT_C34690>')","['Disease, Disorder or Finding', 'Inguinal Hernia']",<http://purl.obolibrary.org/obo/NCIT_C34690>,"Disease, Disorder or Finding Inguinal Hernia"
232,"(['Disease, Disorder or Finding', 'Cold Sore'], '<http://purl.obolibrary.org/obo/NCIT_C34695>')","['Disease, Disorder or Finding', 'Cold Sore']",<http://purl.obolibrary.org/obo/NCIT_C34695>,"Disease, Disorder or Finding Cold Sore"
233,"(['Disease, Disorder or Finding', 'Infectious Mononucleosis'], '<http://purl.obolibrary.org/obo/NCIT_C34726>')","['Disease, Disorder or Finding', 'Infectious Mononucleosis']",<http://purl.obolibrary.org/obo/NCIT_C34726>,"Disease, Disorder or Finding Infectious Mononucleosis"
234,"(['Disease, Disorder or Finding', 'Intestinal Pseudo-Obstruction'], '<http://purl.obolibrary.org/obo/NCIT_C34733>')","['Disease, Disorder or Finding', 'Intestinal Pseudo-Obstruction']",<http://purl.obolibrary.org/obo/NCIT_C34733>,"Disease, Disorder or Finding Intestinal Pseudo-Obstruction"
235,"(['Disease, Disorder or Finding', 'Iridocyclitis'], '<http://purl.obolibrary.org/obo/NCIT_C34736>')","['Disease, Disorder or Finding', 'Iridocyclitis']",<http://purl.obolibrary.org/obo/NCIT_C34736>,"Disease, Disorder or Finding Iridocyclitis"
236,"(['Disease, Disorder or Finding', 'Essential Hypertension'], '<http://purl.obolibrary.org/obo/NCIT_C3478>')","['Disease, Disorder or Finding', 'Essential Hypertension']",<http://purl.obolibrary.org/obo/NCIT_C3478>,"Disease, Disorder or Finding Essential Hypertension"
237,"(['Disease, Disorder or Finding', 'Long QT Syndrome'], '<http://purl.obolibrary.org/obo/NCIT_C34786>')","['Disease, Disorder or Finding', 'Long QT Syndrome']",<http://purl.obolibrary.org/obo/NCIT_C34786>,"Disease, Disorder or Finding Long QT Syndrome"
238,"(['Disease, Disorder or Finding', 'Pancytopenia'], '<http://purl.obolibrary.org/obo/NCIT_C34889>')","['Disease, Disorder or Finding', 'Pancytopenia']",<http://purl.obolibrary.org/obo/NCIT_C34889>,"Disease, Disorder or Finding Pancytopenia"
239,"(['Disease, Disorder or Finding', 'Penicillin Allergy'], '<http://purl.obolibrary.org/obo/NCIT_C34911>')","['Disease, Disorder or Finding', 'Penicillin Allergy']",<http://purl.obolibrary.org/obo/NCIT_C34911>,"Disease, Disorder or Finding Penicillin Allergy"
240,"(['Disease, Disorder or Finding', 'Personality Disorder'], '<http://purl.obolibrary.org/obo/NCIT_C34922>')","['Disease, Disorder or Finding', 'Personality Disorder']",<http://purl.obolibrary.org/obo/NCIT_C34922>,"Disease, Disorder or Finding Personality Disorder"
241,"(['Disease, Disorder or Finding', 'Aspiration Pneumonitis'], '<http://purl.obolibrary.org/obo/NCIT_C34932>')","['Disease, Disorder or Finding', 'Aspiration Pneumonitis']",<http://purl.obolibrary.org/obo/NCIT_C34932>,"Disease, Disorder or Finding Aspiration Pneumonitis"
242,"(['Disease, Disorder or Finding', 'Baker Cyst'], '<http://purl.obolibrary.org/obo/NCIT_C34935>')","['Disease, Disorder or Finding', 'Baker Cyst']",<http://purl.obolibrary.org/obo/NCIT_C34935>,"Disease, Disorder or Finding Baker Cyst"
243,"(['Disease, Disorder or Finding', 'Sarcoidosis'], '<http://purl.obolibrary.org/obo/NCIT_C34995>')","['Disease, Disorder or Finding', 'Sarcoidosis']",<http://purl.obolibrary.org/obo/NCIT_C34995>,"Disease, Disorder or Finding Sarcoidosis"
244,"(['Disease, Disorder or Finding', 'Pulmonary Sarcoidosis'], '<http://purl.obolibrary.org/obo/NCIT_C34997>')","['Disease, Disorder or Finding', 'Pulmonary Sarcoidosis']",<http://purl.obolibrary.org/obo/NCIT_C34997>,"Disease, Disorder or Finding Pulmonary Sarcoidosis"
245,"(['Disease, Disorder or Finding', 'Shoulder Dislocation'], '<http://purl.obolibrary.org/obo/NCIT_C35020>')","['Disease, Disorder or Finding', 'Shoulder Dislocation']",<http://purl.obolibrary.org/obo/NCIT_C35020>,"Disease, Disorder or Finding Shoulder Dislocation"
246,"(['Disease, Disorder or Finding', 'Sinusitis'], '<http://purl.obolibrary.org/obo/NCIT_C35024>')","['Disease, Disorder or Finding', 'Sinusitis']",<http://purl.obolibrary.org/obo/NCIT_C35024>,"Disease, Disorder or Finding Sinusitis"
247,"(['Disease, Disorder or Finding', 'Staphylococcal Infection'], '<http://purl.obolibrary.org/obo/NCIT_C35038>')","['Disease, Disorder or Finding', 'Staphylococcal Infection']",<http://purl.obolibrary.org/obo/NCIT_C35038>,"Disease, Disorder or Finding Staphylococcal Infection"
248,"(['Disease, Disorder or Finding', 'Syncope'], '<http://purl.obolibrary.org/obo/NCIT_C35053>')","['Disease, Disorder or Finding', 'Syncope']",<http://purl.obolibrary.org/obo/NCIT_C35053>,"Disease, Disorder or Finding Syncope"
249,"(['Disease, Disorder or Finding', 'Thalassemia'], '<http://purl.obolibrary.org/obo/NCIT_C35069>')","['Disease, Disorder or Finding', 'Thalassemia']",<http://purl.obolibrary.org/obo/NCIT_C35069>,"Disease, Disorder or Finding Thalassemia"
250,"(['Disease, Disorder or Finding', 'Cutaneous Melanoma'], '<http://purl.obolibrary.org/obo/NCIT_C3510>')","['Disease, Disorder or Finding', 'Cutaneous Melanoma']",<http://purl.obolibrary.org/obo/NCIT_C3510>,"Disease, Disorder or Finding Cutaneous Melanoma"
251,"(['Disease, Disorder or Finding', 'Vulvovaginitis'], '<http://purl.obolibrary.org/obo/NCIT_C35131>')","['Disease, Disorder or Finding', 'Vulvovaginitis']",<http://purl.obolibrary.org/obo/NCIT_C35131>,"Disease, Disorder or Finding Vulvovaginitis"
252,"(['Disease, Disorder or Finding', 'Acute Myocardial Infarction'], '<http://purl.obolibrary.org/obo/NCIT_C35204>')","['Disease, Disorder or Finding', 'Acute Myocardial Infarction']",<http://purl.obolibrary.org/obo/NCIT_C35204>,"Disease, Disorder or Finding Acute Myocardial Infarction"
253,"(['Disease, Disorder or Finding', 'Closed Fracture of Rib'], '<http://purl.obolibrary.org/obo/NCIT_C35350>')","['Disease, Disorder or Finding', 'Closed Fracture of Rib']",<http://purl.obolibrary.org/obo/NCIT_C35350>,"Disease, Disorder or Finding Closed Fracture of Rib"
254,"(['Disease, Disorder or Finding', 'Tooth Abscess'], '<http://purl.obolibrary.org/obo/NCIT_C35475>')","['Disease, Disorder or Finding', 'Tooth Abscess']",<http://purl.obolibrary.org/obo/NCIT_C35475>,"Disease, Disorder or Finding Tooth Abscess"
255,"(['Disease, Disorder or Finding', 'Monoclonal Gammopathy'], '<http://purl.obolibrary.org/obo/NCIT_C35548>')","['Disease, Disorder or Finding', 'Monoclonal Gammopathy']",<http://purl.obolibrary.org/obo/NCIT_C35548>,"Disease, Disorder or Finding Monoclonal Gammopathy"
256,"(['Disease, Disorder or Finding', 'Head and Neck Finding'], '<http://purl.obolibrary.org/obo/NCIT_C36282>')","['Disease, Disorder or Finding', 'Head and Neck Finding']",<http://purl.obolibrary.org/obo/NCIT_C36282>,"Disease, Disorder or Finding Head and Neck Finding"
257,"(['Disease, Disorder or Finding', 'Injury'], '<http://purl.obolibrary.org/obo/NCIT_C3671>')","['Disease, Disorder or Finding', 'Injury']",<http://purl.obolibrary.org/obo/NCIT_C3671>,"Disease, Disorder or Finding Injury"
258,"(['Disease, Disorder or Finding', 'Bradycardia'], '<http://purl.obolibrary.org/obo/NCIT_C37920>')","['Disease, Disorder or Finding', 'Bradycardia']",<http://purl.obolibrary.org/obo/NCIT_C37920>,"Disease, Disorder or Finding Bradycardia"
259,"(['Disease, Disorder or Finding', 'Hypercholesterolemia'], '<http://purl.obolibrary.org/obo/NCIT_C37967>')","['Disease, Disorder or Finding', 'Hypercholesterolemia']",<http://purl.obolibrary.org/obo/NCIT_C37967>,"Disease, Disorder or Finding Hypercholesterolemia"
260,"(['Disease, Disorder or Finding', 'Proteinuria'], '<http://purl.obolibrary.org/obo/NCIT_C38012>')","['Disease, Disorder or Finding', 'Proteinuria']",<http://purl.obolibrary.org/obo/NCIT_C38012>,"Disease, Disorder or Finding Proteinuria"
261,"(['Disease, Disorder or Finding', 'Vertigo'], '<http://purl.obolibrary.org/obo/NCIT_C38057>')","['Disease, Disorder or Finding', 'Vertigo']",<http://purl.obolibrary.org/obo/NCIT_C38057>,"Disease, Disorder or Finding Vertigo"
262,"(['Disease, Disorder or Finding', 'Skin Cyst'], '<http://purl.obolibrary.org/obo/NCIT_C3884>')","['Disease, Disorder or Finding', 'Skin Cyst']",<http://purl.obolibrary.org/obo/NCIT_C3884>,"Disease, Disorder or Finding Skin Cyst"
263,"(['Disease, Disorder or Finding', 'High Grade Cervical Squamous Intraepithelial Neoplasia'], '<http://purl.obolibrary.org/obo/NCIT_C40197>')","['Disease, Disorder or Finding', 'High Grade Cervical Squamous Intraepithelial Neoplasia']",<http://purl.obolibrary.org/obo/NCIT_C40197>,"Disease, Disorder or Finding High Grade Cervical Squamous Intraepithelial Neoplasia"
264,"(['Disease, Disorder or Finding', 'Myeloproliferative Neoplasm'], '<http://purl.obolibrary.org/obo/NCIT_C4345>')","['Disease, Disorder or Finding', 'Myeloproliferative Neoplasm']",<http://purl.obolibrary.org/obo/NCIT_C4345>,"Disease, Disorder or Finding Myeloproliferative Neoplasm"
265,"(['Disease, Disorder or Finding', 'Colon Adenocarcinoma'], '<http://purl.obolibrary.org/obo/NCIT_C4349>')","['Disease, Disorder or Finding', 'Colon Adenocarcinoma']",<http://purl.obolibrary.org/obo/NCIT_C4349>,"Disease, Disorder or Finding Colon Adenocarcinoma"
266,"(['Disease, Disorder or Finding', 'Dementia'], '<http://purl.obolibrary.org/obo/NCIT_C4786>')","['Disease, Disorder or Finding', 'Dementia']",<http://purl.obolibrary.org/obo/NCIT_C4786>,"Disease, Disorder or Finding Dementia"
267,"(['Disease, Disorder or Finding', 'Central Nervous System Degenerative Disorder'], '<http://purl.obolibrary.org/obo/NCIT_C4802>')","['Disease, Disorder or Finding', 'Central Nervous System Degenerative Disorder']",<http://purl.obolibrary.org/obo/NCIT_C4802>,"Disease, Disorder or Finding Central Nervous System Degenerative Disorder"
268,"(['Disease, Disorder or Finding', 'Breast Carcinoma'], '<http://purl.obolibrary.org/obo/NCIT_C4872>')","['Disease, Disorder or Finding', 'Breast Carcinoma']",<http://purl.obolibrary.org/obo/NCIT_C4872>,"Disease, Disorder or Finding Breast Carcinoma"
269,"(['Disease, Disorder or Finding', 'Symptom'], '<http://purl.obolibrary.org/obo/NCIT_C4876>')","['Disease, Disorder or Finding', 'Symptom']",<http://purl.obolibrary.org/obo/NCIT_C4876>,"Disease, Disorder or Finding Symptom"
270,"(['Disease, Disorder or Finding', 'Skin Carcinoma'], '<http://purl.obolibrary.org/obo/NCIT_C4914>')","['Disease, Disorder or Finding', 'Skin Carcinoma']",<http://purl.obolibrary.org/obo/NCIT_C4914>,"Disease, Disorder or Finding Skin Carcinoma"
271,"(['Disease, Disorder or Finding', 'Deep Vein Thrombosis'], '<http://purl.obolibrary.org/obo/NCIT_C49343>')","['Disease, Disorder or Finding', 'Deep Vein Thrombosis']",<http://purl.obolibrary.org/obo/NCIT_C49343>,"Disease, Disorder or Finding Deep Vein Thrombosis"
272,"(['Disease, Disorder or Finding', 'Atrial Fibrillation'], '<http://purl.obolibrary.org/obo/NCIT_C50466>')","['Disease, Disorder or Finding', 'Atrial Fibrillation']",<http://purl.obolibrary.org/obo/NCIT_C50466>,"Disease, Disorder or Finding Atrial Fibrillation"
273,"(['Disease, Disorder or Finding', 'Diabetic Ketoacidosis'], '<http://purl.obolibrary.org/obo/NCIT_C50530>')","['Disease, Disorder or Finding', 'Diabetic Ketoacidosis']",<http://purl.obolibrary.org/obo/NCIT_C50530>,"Disease, Disorder or Finding Diabetic Ketoacidosis"
274,"(['Disease, Disorder or Finding', 'Heart Failure'], '<http://purl.obolibrary.org/obo/NCIT_C50577>')","['Disease, Disorder or Finding', 'Heart Failure']",<http://purl.obolibrary.org/obo/NCIT_C50577>,"Disease, Disorder or Finding Heart Failure"
275,"(['Disease, Disorder or Finding', 'Lumbar Puncture Headache'], '<http://purl.obolibrary.org/obo/NCIT_C50643>')","['Disease, Disorder or Finding', 'Lumbar Puncture Headache']",<http://purl.obolibrary.org/obo/NCIT_C50643>,"Disease, Disorder or Finding Lumbar Puncture Headache"
276,"(['Disease, Disorder or Finding', 'Neonatal Hearing Impairment'], '<http://purl.obolibrary.org/obo/NCIT_C50667>')","['Disease, Disorder or Finding', 'Neonatal Hearing Impairment']",<http://purl.obolibrary.org/obo/NCIT_C50667>,"Disease, Disorder or Finding Neonatal Hearing Impairment"
277,"(['Disease, Disorder or Finding', 'Pulmonary Embolism'], '<http://purl.obolibrary.org/obo/NCIT_C50713>')","['Disease, Disorder or Finding', 'Pulmonary Embolism']",<http://purl.obolibrary.org/obo/NCIT_C50713>,"Disease, Disorder or Finding Pulmonary Embolism"
278,"(['Disease, Disorder or Finding', 'Transient Ischemic Attack'], '<http://purl.obolibrary.org/obo/NCIT_C50781>')","['Disease, Disorder or Finding', 'Transient Ischemic Attack']",<http://purl.obolibrary.org/obo/NCIT_C50781>,"Disease, Disorder or Finding Transient Ischemic Attack"
279,"(['Disease, Disorder or Finding', 'Atrial Flutter'], '<http://purl.obolibrary.org/obo/NCIT_C51224>')","['Disease, Disorder or Finding', 'Atrial Flutter']",<http://purl.obolibrary.org/obo/NCIT_C51224>,"Disease, Disorder or Finding Atrial Flutter"
280,"(['Disease, Disorder or Finding', 'Sign'], '<http://purl.obolibrary.org/obo/NCIT_C53458>')","['Disease, Disorder or Finding', 'Sign']",<http://purl.obolibrary.org/obo/NCIT_C53458>,"Disease, Disorder or Finding Sign"
281,"(['Disease, Disorder or Finding', 'Serum Glutamic Pyruvic Transaminase, CTCAE'], '<http://purl.obolibrary.org/obo/NCIT_C55098>')","['Disease, Disorder or Finding', 'Serum Glutamic Pyruvic Transaminase, CTCAE']",<http://purl.obolibrary.org/obo/NCIT_C55098>,"Disease, Disorder or Finding Serum Glutamic Pyruvic Transaminase, CTCAE"
282,"(['Disease, Disorder or Finding', 'Anorectal Fistula'], '<http://purl.obolibrary.org/obo/NCIT_C60785>')","['Disease, Disorder or Finding', 'Anorectal Fistula']",<http://purl.obolibrary.org/obo/NCIT_C60785>,"Disease, Disorder or Finding Anorectal Fistula"
283,"(['Disease, Disorder or Finding', 'Myasthenia Gravis'], '<http://purl.obolibrary.org/obo/NCIT_C60989>')","['Disease, Disorder or Finding', 'Myasthenia Gravis']",<http://purl.obolibrary.org/obo/NCIT_C60989>,"Disease, Disorder or Finding Myasthenia Gravis"
284,"(['Disease, Disorder or Finding', 'Psoriatic Arthritis'], '<http://purl.obolibrary.org/obo/NCIT_C61277>')","['Disease, Disorder or Finding', 'Psoriatic Arthritis']",<http://purl.obolibrary.org/obo/NCIT_C61277>,"Disease, Disorder or Finding Psoriatic Arthritis"
285,"(['Disease, Disorder or Finding', 'Amenorrhea'], '<http://purl.obolibrary.org/obo/NCIT_C61443>')","['Disease, Disorder or Finding', 'Amenorrhea']",<http://purl.obolibrary.org/obo/NCIT_C61443>,"Disease, Disorder or Finding Amenorrhea"
286,"(['Disease, Disorder or Finding', 'Neurofibromatosis'], '<http://purl.obolibrary.org/obo/NCIT_C6727>')","['Disease, Disorder or Finding', 'Neurofibromatosis']",<http://purl.obolibrary.org/obo/NCIT_C6727>,"Disease, Disorder or Finding Neurofibromatosis"
287,"(['Disease, Disorder or Finding', 'Serositis'], '<http://purl.obolibrary.org/obo/NCIT_C70428>')","['Disease, Disorder or Finding', 'Serositis']",<http://purl.obolibrary.org/obo/NCIT_C70428>,"Disease, Disorder or Finding Serositis"
288,"(['Disease, Disorder or Finding', 'Herpes Zoster'], '<http://purl.obolibrary.org/obo/NCIT_C71079>')","['Disease, Disorder or Finding', 'Herpes Zoster']",<http://purl.obolibrary.org/obo/NCIT_C71079>,"Disease, Disorder or Finding Herpes Zoster"
289,"(['Disease, Disorder or Finding', 'Chronic Atropic Gastritis'], '<http://purl.obolibrary.org/obo/NCIT_C7405>')","['Disease, Disorder or Finding', 'Chronic Atropic Gastritis']",<http://purl.obolibrary.org/obo/NCIT_C7405>,"Disease, Disorder or Finding Chronic Atropic Gastritis"
290,"(['Disease, Disorder or Finding', 'Malignant Thyroid Gland Neoplasm'], '<http://purl.obolibrary.org/obo/NCIT_C7510>')","['Disease, Disorder or Finding', 'Malignant Thyroid Gland Neoplasm']",<http://purl.obolibrary.org/obo/NCIT_C7510>,"Disease, Disorder or Finding Malignant Thyroid Gland Neoplasm"
291,"(['Disease, Disorder or Finding', 'Melanocytic Nevus'], '<http://purl.obolibrary.org/obo/NCIT_C7570>')","['Disease, Disorder or Finding', 'Melanocytic Nevus']",<http://purl.obolibrary.org/obo/NCIT_C7570>,"Disease, Disorder or Finding Melanocytic Nevus"
292,"(['Disease, Disorder or Finding', 'Flu-Like Symptoms'], '<http://purl.obolibrary.org/obo/NCIT_C78302>')","['Disease, Disorder or Finding', 'Flu-Like Symptoms']",<http://purl.obolibrary.org/obo/NCIT_C78302>,"Disease, Disorder or Finding Flu-Like Symptoms"
